"Labour force characteristics by census metropolitan area, three-month moving average, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0095-01 (formerly CANSIM 282-0128)"
"Geography: Census metropolitan area, Census metropolitan area part"

"","Employment 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","15 years and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography 3 4","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020"
"","Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. John's, Newfoundland and Labrador","116.4","116.6","116.0","114.9","113.2","112.6","112.9","114.2","116.7","118.7","120.3","120.0","119.9","117.9","116.3","114.1","112.8","111.9","110.8","110.6","109.5","109.9","110.2","110.1","108.3","107.9","109.2","110.6","109.1","106.9","106.1","107.6","109.2","111.5","112.1","112.4","112.1","112.1","113.0","113.2","113.3","113.5","113.9","115.6","116.0","115.8","115.7","114.9","115.3","115.4","116.4","115.7","113.9","112.2","110.0","105.5","103.6","104.3","108.1","110.1","110.6"
"Halifax, Nova Scotia","229.3","228.2","226.2","225.1","223.3","221.4","219.7","221.3","223.9","227.4","229.6","231.5","229.7","228.5","227.7","227.7","225.8","222.3","219.8","219.9","222.5","224.8","227.2","227.2","227.0","225.0","225.6","226.8","226.9","227.9","228.3","231.0","231.7","233.8","235.6","237.1","237.3","236.6","237.1","237.5","237.2","235.0","233.2","233.4","237.7","244.3","247.6","248.0","245.9","244.5","242.3","239.3","239.0","238.6","234.9","222.9","215.3","217.4","228.3","236.7","240.3"
"Moncton, New Brunswick","79.2","79.5","78.7","78.3","77.2","76.4","76.9","76.6","77.6","79.0","80.6","81.5","80.0","78.3","75.9","75.0","73.4","72.8","72.3","73.9","75.1","76.4","77.4","78.5","79.0","79.7","79.5","79.7","79.0","79.9","79.4","79.3","79.0","79.9","80.7","80.8","80.8","81.0","81.0","81.3","80.5","80.1","79.8","80.3","81.7","82.6","83.0","83.1","82.5","81.7","81.5","81.8","83.5","82.7","81.2","78.2","78.0","80.5","82.6","83.6","82.7"
"Saint John, New Brunswick","66.7","65.8","64.0","62.4","61.4","61.2","60.7","61.4","62.3","63.4","64.3","63.9","64.5","64.2","65.1","65.9","66.1","65.7","65.4","65.1","65.4","65.2","66.8","67.7","67.5","66.2","64.7","63.9","61.6","59.8","58.3","58.5","59.3","61.4","63.5","64.6","65.6","65.7","67.0","66.3","66.3","66.0","66.0","65.5","65.2","65.8","67.0","67.5","67.4","67.0","65.9","64.7","62.9","62.7","61.3","58.1","55.6","57.2","61.2","62.1","60.6"
"Saguenay, Quebec","74.7","75.1","75.6","76.1","74.9","73.7","72.2","71.4","71.4","72.0","73.5","73.4","74.4","73.9","74.0","72.9","72.4","72.9","71.9","72.9","74.7","77.6","78.6","79.0","78.0","76.8","74.4","73.4","73.4","73.6","74.1","73.7","74.3","74.7","76.0","76.0","73.9","72.1","69.9","70.6","69.7","70.0","70.3","72.4","75.8","78.0","79.2","78.5","77.9","77.5","76.3","74.4","73.2","72.8","71.4","66.6","65.3","68.4","74.2","76.9","77.5"
"Québec, Quebec","446.2","447.7","446.0","445.0","438.0","432.4","426.4","423.0","426.4","436.4","442.5","443.7","443.9","446.9","448.7","447.4","446.7","445.5","443.6","438.7","436.9","438.2","440.0","440.1","438.4","441.3","446.4","451.1","454.4","453.5","454.9","457.0","461.0","462.3","460.8","456.8","449.6","444.4","440.2","443.7","446.1","452.9","456.1","463.9","472.8","477.0","476.3","467.4","460.0","455.7","450.7","445.0","435.5","432.8","422.5","398.7","385.3","394.4","423.1","439.5","440.3"
"Sherbrooke, Quebec","108.6","108.0","107.9","107.0","105.7","105.2","104.3","103.5","103.0","104.2","107.0","108.2","108.4","108.9","109.2","109.6","107.2","104.8","103.8","103.7","103.7","104.1","105.5","108.0","107.6","107.7","109.2","110.8","110.4","108.2","107.4","108.4","110.0","112.3","114.8","115.8","115.2","112.8","109.7","107.1","106.3","107.1","107.7","109.4","111.2","114.7","115.3","115.1","113.6","114.0","113.7","112.9","111.4","110.4","108.6","102.2","101.6","103.7","111.0","113.2","113.4"
"Trois-Rivières, Quebec","74.5","75.1","75.6","75.1","73.9","73.6","73.6","73.6","73.6","75.1","76.6","76.1","74.5","74.0","75.3","75.2","73.9","73.2","74.2","75.3","75.8","76.3","77.2","77.6","77.3","76.4","75.9","75.5","74.1","72.6","71.7","72.9","74.3","76.7","78.9","80.8","80.7","78.8","75.9","74.2","72.7","72.1","73.1","74.4","77.6","78.0","78.6","77.1","75.6","75.6","76.0","77.9","77.9","78.3","76.4","72.6","69.4","69.9","74.2","77.6","79.9"
"Montréal, Quebec","2,072.2","2,054.1","2,045.6","2,039.5","2,030.6","2,018.6","2,013.9","2,020.1","2,044.9","2,062.8","2,078.5","2,081.5","2,097.5","2,112.9","2,113.8","2,109.9","2,101.5","2,096.1","2,090.1","2,091.2","2,119.7","2,153.8","2,184.9","2,184.8","2,174.9","2,167.4","2,162.6","2,164.6","2,162.5","2,161.7","2,158.4","2,156.9","2,176.8","2,198.8","2,215.2","2,210.0","2,196.4","2,191.6","2,200.0","2,194.8","2,182.0","2,167.4","2,166.3","2,178.9","2,184.5","2,204.9","2,216.0","2,229.3","2,232.7","2,230.2","2,218.8","2,216.1","2,209.4","2,214.6","2,154.6","2,025.7","1,935.7","1,957.7","2,065.8","2,138.0","2,170.6"
