"Labour force characteristics by industry, monthly, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0022-01 (formerly CANSIM 282-0007)"
"Geography: Canada, Province or territory"

"","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Labour force 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","15 years and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 4","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020"
"","Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all industries 5","19,313.8","19,318.0","19,257.3","19,206.2","19,102.7","19,177.3","19,199.2","19,269.0","19,620.9","19,671.9","19,720.9","19,799.2","19,455.5","19,482.2","19,406.0","19,381.4","19,340.5","19,342.8","19,412.4","19,416.7","19,882.0","19,973.3","20,005.0","20,029.7","19,633.8","19,676.2","19,635.8","19,607.1","19,440.9","19,468.9","19,540.3","19,611.2","19,972.8","20,122.2","20,145.3","20,177.1","19,824.5","19,813.9","19,843.1","19,793.5","19,788.4","19,871.1","19,895.8","20,044.7","20,348.0","20,464.3","20,497.3","20,623.0","20,268.3","20,258.1","20,206.2","20,129.4","20,006.2","20,095.6","19,499.4","18,507.9","19,290.2","20,171.6","20,354.8","20,551.3","20,264.6"
"Goods-producing sector 6","4,179.1","4,150.3","4,163.6","4,130.2","4,048.2","4,103.5","4,059.5","4,043.5","4,156.6","4,155.2","4,204.9","4,203.7","4,121.1","4,131.4","4,084.1","4,017.2","3,987.6","3,955.1","3,980.3","4,029.3","4,129.6","4,173.5","4,235.5","4,222.4","4,132.5","4,156.5","4,148.9","4,091.7","4,041.7","4,035.5","4,059.9","4,067.4","4,143.5","4,224.7","4,224.9","4,208.3","4,169.9","4,145.0","4,141.9","4,127.9","4,050.8","4,058.9","4,055.6","4,138.1","4,230.5","4,240.3","4,283.7","4,286.6","4,216.0","4,188.5","4,154.1","4,116.6","4,074.6","4,064.2","4,038.0","3,841.7","4,020.9","4,148.7","4,164.2","4,151.0","4,123.3"
"Agriculture 7","316.4","313.4","310.0","301.3","286.5","294.2","301.5","296.2","320.3","312.4","326.0","324.5","312.0","304.7","295.6","284.4","283.9","281.1","279.3","288.8","300.7","308.7","307.3","309.0","297.2","299.4","283.1","271.9","268.1","264.3","281.4","288.6","302.4","295.2","300.5","296.0","295.9","290.8","297.0","284.9","273.9","279.2","280.9","301.1","310.1","311.7","314.6","317.1","311.6","315.8","302.9","292.1","295.2","294.8","286.3","290.7","305.6","300.7","304.4","304.8","294.0"
"Forestry, fishing, mining, quarrying, oil and gas 8 9","395.3","384.1","386.0","390.8","394.5","384.1","382.1","368.4","364.7","370.0","360.4","353.4","348.1","358.8","361.2","358.7","362.2","355.5","354.8","346.6","356.9","355.2","366.6","361.6","352.7","355.4","360.1","363.8","360.5","359.8","358.6","347.9","364.2","381.0","372.1","371.4","367.8","364.8","365.1","371.8","374.8","376.0","370.5","361.5","370.5","367.6","359.3","355.8","346.0","344.6","337.6","340.9","339.0","334.7","336.2","331.3","353.6","351.0","352.6","337.8","343.6"
