"Labour force characteristics by census metropolitan area, three-month moving average, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0095-01 (formerly CANSIM 282-0128)"
"Geography: Census metropolitan area, Census metropolitan area part"

"","Labour force 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","Both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","15 years and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography 3 4","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020"
"","Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. John's, Newfoundland and Labrador","124.9","124.5","123.1","122.1","121.3","122.0","122.3","123.8","125.5","127.4","128.8","129.2","129.5","128.3","127.5","126.0","124.9","123.2","121.9","120.8","119.7","119.2","119.9","120.3","119.1","118.0","118.8","119.9","119.0","117.1","116.6","118.0","119.8","121.8","123.3","124.7","124.6","122.7","121.5","120.7","121.8","122.5","123.8","125.4","126.1","125.7","125.4","125.4","125.3","124.3","123.7","123.2","122.7","122.2","120.4","117.4","116.8","118.8","123.2","124.2","123.6"
"Halifax, Nova Scotia","243.5","241.9","240.1","239.0","238.8","238.1","238.0","238.9","239.5","240.6","242.2","244.6","243.2","242.0","240.5","241.2","239.9","237.6","236.8","237.6","239.9","241.4","243.3","244.1","244.2","241.8","241.4","241.7","242.5","243.7","244.5","246.4","246.7","248.3","251.1","253.9","253.9","252.6","250.7","249.3","248.4","246.6","246.2","246.9","251.4","257.3","260.6","262.9","261.4","260.9","258.3","256.6","255.7","255.7","252.9","245.5","240.9","246.3","255.8","263.8","262.9"
"Moncton, New Brunswick","85.3","84.6","83.2","83.0","82.2","81.8","82.8","82.9","84.0","85.3","87.5","88.0","86.1","83.9","81.4","81.0","79.7","79.4","78.9","79.5","80.0","80.4","81.4","82.8","83.9","84.5","84.5","84.2","84.0","84.5","84.7","84.6","84.5","85.6","86.2","86.7","86.2","85.5","84.8","85.1","85.1","85.2","85.3","86.0","87.3","88.0","88.0","87.9","87.1","86.3","85.6","85.6","87.8","87.5","86.7","84.6","86.1","89.0","90.2","90.4","89.3"
"Saint John, New Brunswick","73.0","71.0","68.1","66.9","66.7","66.9","66.8","67.6","68.2","68.8","69.5","69.7","69.9","69.2","69.6","71.0","71.2","71.0","70.1","69.7","69.5","69.6","71.0","72.1","71.6","70.5","68.7","67.5","65.7","64.0","63.0","62.8","63.6","65.3","67.2","68.7","69.5","69.8","70.4","70.3","70.6","70.5","70.3","69.8","69.4","69.9","71.9","73.0","73.3","72.5","71.3","69.7","67.9","67.6","66.7","64.5","63.2","64.9","68.2","69.0","67.7"
"Saguenay, Quebec","81.0","81.4","81.1","81.7","81.1","81.5","81.0","80.5","79.7","78.8","78.6","78.0","79.3","79.2","79.2","78.4","78.3","78.9","78.1","79.2","81.0","83.2","83.8","83.9","83.2","81.6","79.0","77.9","78.4","78.8","79.7","79.7","80.3","80.1","80.6","80.4","78.4","76.3","74.0","74.4","73.6","74.3","74.9","77.3","80.0","82.0","83.1","83.1","82.3","81.5","79.8","78.1","77.8","78.0","77.9","76.6","76.8","78.7","80.6","81.6","81.3"
"Québec, Quebec","468.4","469.3","464.9","465.0","461.3","456.8","451.8","445.5","445.8","454.9","462.1","466.6","466.2","467.0","465.9","465.1","467.1","467.5","465.3","460.4","459.1","458.8","458.2","458.8","457.0","460.5","463.8","467.0","470.0","469.5","474.9","476.5","480.3","479.6","477.8","474.8","467.9","462.7","456.1","459.5","463.2","471.6","475.4","480.8","486.9","487.4","485.4","479.5","473.9","469.6","464.1","459.7","455.0","453.2","450.3","442.4","438.1","446.0","460.2","468.1","463.4"
"Sherbrooke, Quebec","116.3","115.0","113.9","113.5","113.0","113.4","112.9","112.5","111.4","111.8","113.7","115.0","115.1","114.9","114.8","114.7","112.7","110.9","111.2","111.4","111.5","110.7","111.7","113.6","113.0","113.4","114.8","116.7","116.4","115.0","114.9","115.9","116.6","117.9","119.6","120.6","119.7","117.9","115.1","112.5","111.4","111.9","113.0","114.3","116.0","119.4","120.1","121.0","119.5","119.9","118.9","117.8","116.7","115.9","116.1","114.1","115.6","117.8","121.3","122.8","121.8"
"Trois-Rivières, Quebec","79.9","80.3","80.7","80.6","79.9","79.4","79.5","79.5","79.9","80.7","81.9","81.1","79.9","79.6","80.7","80.8","79.4","78.6","79.9","81.3","81.6","81.2","81.6","82.3","81.7","80.3","79.1","78.4","77.2","76.6","76.4","77.8","78.7","80.5","82.3","84.4","84.3","82.8","79.7","78.0","76.6","76.4","78.0","79.6","82.6","82.6","82.8","81.2","79.8","79.6","80.0","81.8","82.2","82.5","82.2","81.4","80.3","80.1","81.8","84.0","85.2"
"Montréal, Quebec","2,269.1","2,245.1","2,223.7","2,220.7","2,214.3","2,210.6","2,208.1","2,213.4","2,229.1","2,239.3","2,255.5","2,264.3","2,274.4","2,274.6","2,256.1","2,251.0","2,246.2","2,250.8","2,249.1","2,252.9","2,275.1","2,307.3","2,336.9","2,346.7","2,334.9","2,325.1","2,303.8","2,295.5","2,291.7","2,303.2","2,309.5","2,305.5","2,319.1","2,338.6","2,357.5","2,359.7","2,344.1","2,332.7","2,328.8","2,325.4","2,318.2","2,308.4","2,307.1","2,311.9","2,312.4","2,333.3","2,354.1","2,370.8","2,367.1","2,355.9","2,340.6","2,340.8","2,339.3","2,342.6","2,308.4","2,269.3","2,253.0","2,304.3","2,374.0","2,431.3","2,434.3"
"Ottawa-Gatineau, Ontario/Quebec","767.6","763.4","755.8","756.7","752.6","756.2","758.8","759.9","767.1","774.0","782.9","782.4","773.7","771.5","766.7","767.0","764.4","762.2","761.4","761.2","768.5","778.5","782.7","778.5","770.2","765.3","762.8","765.7","766.9","768.6","768.4","774.1","780.4","785.5","787.4","786.6","780.3","773.5","767.5","770.9","773.9","781.5","783.5","787.9","792.8","803.6","816.6","829.7","832.3","834.8","832.4","830.6","813.9","801.3","787.3","772.5","762.5","768.9","790.1","805.2","805.4"
"Ottawa-Gatineau, Quebec part, Ontario/Quebec","198.2","196.6","193.4","191.6","189.2","187.5","185.6","184.4","187.2","189.9","192.5","191.6","191.2","190.7","188.9","186.7","184.9","184.6","185.0","186.3","190.4","194.3","196.2","195.2","193.4","191.7","188.6","187.4","187.1","189.0","189.6","191.5","193.0","192.5","193.1","193.5","193.1","191.4","189.9","191.3","190.9","190.6","190.9","191.7","193.2","193.7","194.9","195.9","195.9","195.7","194.0","191.6","187.2","186.1","186.3","184.0","180.5","179.7","183.3","185.9","186.0"
"Ottawa-Gatineau, Ontario part, Ontario/Quebec","569.3","566.9","562.4","565.1","563.4","568.7","573.2","575.5","579.9","584.1","590.3","590.8","582.5","580.8","577.8","580.4","579.5","577.7","576.4","574.9","578.0","584.2","586.5","583.3","576.8","573.6","574.2","578.3","579.8","579.6","578.8","582.5","587.3","593.0","594.3","593.1","587.2","582.1","577.5","579.6","582.9","590.9","592.5","596.2","599.6","609.9","621.7","633.8","636.4","639.1","638.4","639.0","626.7","615.2","601.0","588.4","582.0","589.2","606.8","619.3","619.4"
"Kingston, Ontario","91.3","91.0","89.5","88.7","88.4","88.1","88.2","87.7","88.3","89.0","90.2","90.6","89.5","88.9","87.5","87.8","88.0","89.4","90.7","91.6","93.1","93.6","94.3","93.7","93.1","92.1","91.6","92.2","91.7","91.2","90.5","91.4","92.3","92.8","93.5","93.6","93.2","91.3","90.1","89.5","89.6","89.6","90.5","92.3","94.1","95.7","95.6","95.2","93.5","91.7","90.6","90.2","90.0","90.2","89.4","87.8","87.0","89.0","91.5","93.4","92.8"
"Peterborough, Ontario 5 (map)","66.8","64.6","64.2","63.5","63.6","62.7","62.7","62.0","62.1","62.9","62.9","63.1","61.2","61.9","62.1","63.7","64.0","64.1","64.4","65.3","66.1","67.2","67.9","68.1","66.8","65.2","64.2","63.3","62.9","63.0","63.0","63.5","62.7","64.7","66.0","68.8","70.4","70.4","70.7","69.3","69.8","67.8","67.0","65.1","66.0","66.4","67.0","66.4","63.9","62.8","63.0","62.9","61.5","59.7","56.8","54.5","52.7","55.4","57.4","58.3","58.5"
"Oshawa, Ontario","206.0","209.5","212.1","217.2","220.9","221.9","222.9","222.6","223.4","225.3","228.2","232.9","232.8","231.1","228.3","228.9","228.6","223.9","218.5","216.4","220.8","226.1","227.3","227.3","224.2","224.6","222.7","221.7","219.7","219.4","222.8","228.1","235.3","238.8","240.4","239.8","236.9","233.9","231.6","231.6","233.0","233.3","235.3","235.8","238.2","238.7","238.4","234.8","228.3","223.6","220.2","222.2","224.7","230.1","233.4","230.6","227.5","226.7","232.8","237.0","237.7"
"Toronto, Ontario","3,505.4","3,482.0","3,443.9","3,445.7","3,442.6","3,427.1","3,408.1","3,421.2","3,458.2","3,488.4","3,502.9","3,514.4","3,502.7","3,472.5","3,431.2","3,423.9","3,428.7","3,439.2","3,446.8","3,454.9","3,499.1","3,529.0","3,561.3","3,558.0","3,544.0","3,531.9","3,521.1","3,544.3","3,539.3","3,528.4","3,505.9","3,513.5","3,551.4","3,595.6","3,634.1","3,630.5","3,597.1","3,571.7","3,562.7","3,576.1","3,587.7","3,608.2","3,633.3","3,661.0","3,690.7","3,716.3","3,752.8","3,772.0","3,779.2","3,745.2","3,726.4","3,721.4","3,738.5","3,737.3","3,676.5","3,553.2","3,479.9","3,528.1","3,670.9","3,788.6","3,835.9"
"Hamilton, Ontario","417.8","411.4","408.4","407.6","406.3","404.1","402.4","406.0","406.7","409.6","408.1","409.1","411.2","413.1","417.5","421.0","421.1","419.5","420.8","429.2","437.8","441.8","447.2","451.5","454.0","449.8","444.7","442.2","441.1","436.6","431.3","424.5","427.8","433.0","441.2","440.3","437.8","435.2","435.4","437.8","436.3","435.0","430.2","426.4","428.7","435.1","441.3","446.4","448.1","454.6","453.0","453.9","449.4","448.7","443.2","431.8","418.8","420.3","432.0","440.5","433.3"
"St. Catharines-Niagara, Ontario","226.0","223.8","223.5","223.5","222.2","222.1","218.9","214.5","213.6","216.1","219.5","220.5","219.9","222.0","220.6","219.5","213.5","209.2","206.9","207.3","210.6","213.0","217.1","217.8","214.5","211.9","209.9","211.4","209.9","208.5","209.3","211.2","215.6","217.9","221.3","221.6","220.8","219.1","215.7","215.4","213.0","212.2","207.6","204.9","204.5","207.0","210.6","214.1","215.5","215.0","215.8","217.0","215.1","211.6","205.9","199.0","193.3","194.7","201.4","209.5","210.2"
"Kitchener-Cambridge-Waterloo, Ontario","296.3","299.7","300.2","300.0","300.7","301.8","303.5","303.0","302.3","300.6","299.4","296.4","293.2","292.8","291.8","294.8","296.3","298.1","299.8","300.9","305.0","308.0","309.8","308.8","305.4","301.9","300.5","300.3","297.6","294.5","292.1","294.8","299.5","305.9","314.0","319.6","319.0","316.7","314.1","314.7","312.7","309.7","310.4","315.2","320.7","323.4","322.5","322.7","323.6","323.6","321.6","319.2","318.8","322.3","322.2","312.3","301.0","297.8","303.9","312.7","315.7"
