"Sex","Age group","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020"
"Both sexes","15 years and over","19,313.8","19,318.0","19,257.3","19,206.2","19,102.7","19,177.3","19,199.2","19,269.0","19,620.9","19,671.9","19,720.9","19,799.2","19,455.5","19,482.2","19,406.0","19,381.4","19,340.5","19,342.8","19,412.4","19,416.7","19,882.0","19,973.3","20,005.0","20,029.7","19,633.8","19,676.2","19,635.8","19,607.1","19,440.9","19,468.9","19,540.3","19,611.2","19,972.8","20,122.2","20,145.3","20,177.1","19,824.5","19,813.9","19,843.1","19,793.5","19,788.4","19,871.1","19,895.8","20,044.7","20,348.0","20,464.3","20,497.3","20,623.0","20,268.3","20,258.1","20,206.2","20,129.4","20,006.2","20,095.6","19,499.4","18,507.9","19,290.2","20,171.6","20,354.8","20,551.3","20,264.6"
,"15 to 24 years","2,749.0","2,751.9","2,682.6","2,663.4","2,609.4","2,625.1","2,649.8","2,651.4","2,930.7","2,998.2","3,184.1","3,104.5","2,713.7","2,727.3","2,685.2","2,664.7","2,638.7","2,607.8","2,633.0","2,606.5","2,956.1","3,011.5","3,195.9","3,075.2","2,639.0","2,685.2","2,688.1","2,643.6","2,589.3","2,586.3","2,627.1","2,619.1","2,910.9","2,997.2","3,171.1","3,086.2","2,660.2","2,631.4","2,616.6","2,581.2","2,604.8","2,628.4","2,649.9","2,691.0","2,942.0","3,037.8","3,235.4","3,212.9","2,761.1","2,749.0","2,736.8","2,691.2","2,635.2","2,676.8","2,436.6","2,164.9","2,590.6","2,991.2","3,201.0","3,179.7","2,736.8"
,"25 years and over","16,564.8","16,566.2","16,574.7","16,542.7","16,493.3","16,552.2","16,549.4","16,617.6","16,690.1","16,673.7","16,536.9","16,694.7","16,741.8","16,754.9","16,720.7","16,716.7","16,701.8","16,735.0","16,779.3","16,810.2","16,925.8","16,961.9","16,809.2","16,954.5","16,994.8","16,991.0","16,947.8","16,963.6","16,851.6","16,882.6","16,913.2","16,992.0","17,062.0","17,125.0","16,974.1","17,090.9","17,164.3","17,182.5","17,226.5","17,212.3","17,183.6","17,242.7","17,245.9","17,353.7","17,406.0","17,426.5","17,261.9","17,410.1","17,507.2","17,509.1","17,469.4","17,438.2","17,371.0","17,418.7","17,062.8","16,343.0","16,699.6","17,180.4","17,153.9","17,371.6","17,527.8"
,"25 to 44 years","8,279.8","8,275.0","8,289.8","8,297.1","8,266.2","8,249.8","8,287.1","8,320.0","8,356.9","8,360.7","8,313.3","8,413.8","8,390.8","8,404.0","8,411.3","8,428.0","8,429.7","8,429.7","8,475.4","8,489.5","8,548.1","8,560.7","8,487.4","8,534.4","8,508.6","8,513.1","8,495.3","8,511.2","8,474.2","8,501.5","8,522.8","8,586.1","8,645.7","8,703.9","8,653.2","8,727.5","8,744.0","8,731.6","8,750.0","8,752.5","8,747.3","8,765.5","8,728.1","8,800.5","8,830.5","8,871.0","8,799.4","8,862.8","8,894.6","8,917.4","8,937.7","8,919.9","8,910.1","8,915.6","8,787.0","8,359.7","8,576.2","8,868.5","8,869.5","8,951.4","9,026.0"
,"45 to 64 years","7,519.5","7,490.5","7,496.9","7,472.0","7,459.0","7,510.2","7,487.0","7,538.2","7,575.6","7,535.7","7,445.9","7,506.5","7,541.2","7,545.7","7,512.4","7,485.7","7,477.7","7,491.7","7,494.5","7,510.0","7,543.9","7,556.6","7,485.8","7,576.7","7,608.7","7,600.7","7,584.1","7,574.1","7,494.5","7,515.2","7,529.9","7,531.7","7,542.0","7,556.9","7,489.5","7,561.8","7,580.0","7,601.0","7,605.2","7,572.2","7,515.3","7,531.9","7,561.8","7,596.6","7,620.8","7,620.6","7,555.9","7,612.5","7,666.2","7,619.0","7,585.6","7,548.2","7,496.9","7,541.5","7,367.0","7,114.8","7,236.7","7,410.7","7,409.9","7,537.8","7,573.1"
,"45 years and over","8,285.0","8,291.2","8,284.9","8,245.7","8,227.2","8,302.4","8,262.2","8,297.5","8,333.2","8,313.0","8,223.6","8,281.0","8,351.0","8,350.9","8,309.5","8,288.7","8,272.2","8,305.3","8,303.9","8,320.7","8,377.8","8,401.2","8,321.8","8,420.1","8,486.3","8,477.8","8,452.5","8,452.4","8,377.4","8,381.0","8,390.4","8,405.9","8,416.3","8,421.1","8,321.0","8,363.4","8,420.3","8,450.9","8,476.5","8,459.8","8,436.4","8,477.2","8,517.8","8,553.2","8,575.5","8,555.5","8,462.5","8,547.3","8,612.6","8,591.7","8,531.7","8,518.4","8,460.9","8,503.1","8,275.8","7,983.3","8,123.4","8,311.9","8,284.4","8,420.2","8,501.8"
,"25 to 54 years","12,689.6","12,657.2","12,668.5","12,634.0","12,597.7","12,595.3","12,608.8","12,660.7","12,706.9","12,691.1","12,595.6","12,700.7","12,672.6","12,672.6","12,693.5","12,682.4","12,679.2","12,667.2","12,727.9","12,748.2","12,829.6","12,843.1","12,746.8","12,817.6","12,795.1","12,783.7","12,739.1","12,730.2","12,662.3","12,695.6","12,714.7","12,787.9","12,830.2","12,876.6","12,795.4","12,902.2","12,914.3","12,916.4","12,913.6","12,922.0","12,903.7","12,918.3","12,890.1","12,974.7","13,017.4","13,039.8","12,946.8","13,039.3","13,077.6","13,048.8","13,052.3","13,022.0","12,988.2","12,989.8","12,783.2","12,225.4","12,517.5","12,917.8","12,905.3","13,045.2","13,135.5"
,"55 years and over","3,875.2","3,909.0","3,906.2","3,908.7","3,895.6","3,956.9","3,940.6","3,956.9","3,983.2","3,982.6","3,941.2","3,994.1","4,069.2","4,082.3","4,027.3","4,034.2","4,022.6","4,067.8","4,051.5","4,062.0","4,096.3","4,118.8","4,062.3","4,136.9","4,199.7","4,207.2","4,208.7","4,233.3","4,189.3","4,186.9","4,198.5","4,204.1","4,231.8","4,248.4","4,178.7","4,188.7","4,250.0","4,266.1","4,312.9","4,290.4","4,279.9","4,324.4","4,355.7","4,379.1","4,388.6","4,386.7","4,315.1","4,370.8","4,429.6","4,460.3","4,417.1","4,416.2","4,382.8","4,429.0","4,279.6","4,117.6","4,182.1","4,262.6","4,248.5","4,326.4","4,392.3"
,"15 to 64 years","18,548.3","18,517.3","18,469.3","18,432.5","18,334.6","18,385.2","18,424.0","18,509.6","18,863.2","18,894.5","18,943.2","19,024.7","18,645.7","18,677.0","18,608.9","18,578.3","18,546.0","18,529.2","18,602.9","18,606.0","19,048.1","19,128.8","19,169.0","19,186.3","18,756.3","18,799.1","18,767.4","18,728.8","18,558.1","18,603.0","18,679.8","18,736.9","19,098.6","19,258.0","19,313.8","19,375.5","18,984.2","18,964.0","18,971.8","18,905.9","18,867.4","18,925.8","18,939.8","19,088.2","19,393.3","19,529.4","19,590.6","19,688.2","19,321.9","19,285.4","19,260.1","19,159.3","19,042.2","19,133.9","18,590.7","17,639.4","18,403.6","19,270.4","19,480.4","19,668.9","19,335.9"
,"15 to 19 years","981.1","976.4","926.6","921.7","910.8","918.6","929.2","927.4","1,032.5","1,053.7","1,222.7","1,157.3","912.6","909.8","898.5","894.7","888.4","890.9","910.8","903.6","1,046.4","1,060.0","1,245.0","1,161.8","901.4","920.8","913.6","916.6","898.2","899.4","924.6","939.1","1,038.5","1,067.5","1,226.2","1,157.7","917.6","906.0","917.3","912.2","919.3","928.1","923.4","945.5","1,009.2","1,078.4","1,268.6","1,227.1","966.2","955.8","923.7","919.9","898.2","914.9","802.9","696.6","880.1","1,091.3","1,245.8","1,228.1","974.7"
,"20 to 24 years","1,767.9","1,775.5","1,755.9","1,741.7","1,698.6","1,706.6","1,720.6","1,724.0","1,898.2","1,944.5","1,961.4","1,947.2","1,801.1","1,817.5","1,786.7","1,769.9","1,750.3","1,716.9","1,722.2","1,703.0","1,909.7","1,951.5","1,950.9","1,913.4","1,737.6","1,764.4","1,774.4","1,727.0","1,691.1","1,686.9","1,702.5","1,680.1","1,872.4","1,929.7","1,944.9","1,928.5","1,742.6","1,725.4","1,699.3","1,668.9","1,685.6","1,700.3","1,726.5","1,745.5","1,932.8","1,959.5","1,966.7","1,985.8","1,794.8","1,793.2","1,813.1","1,771.3","1,737.0","1,761.9","1,633.7","1,468.3","1,710.5","1,899.9","1,955.2","1,951.6","1,762.1"
,"25 to 29 years","2,067.4","2,041.9","2,028.3","2,038.8","2,026.9","2,030.4","2,063.0","2,086.6","2,107.0","2,136.9","2,113.0","2,127.6","2,110.0","2,099.6","2,088.1","2,089.9","2,084.6","2,078.4","2,094.4","2,122.1","2,158.3","2,176.0","2,158.8","2,181.7","2,146.5","2,146.5","2,137.4","2,142.0","2,134.6","2,149.9","2,156.4","2,183.1","2,201.1","2,231.7","2,232.2","2,247.8","2,220.6","2,207.3","2,231.4","2,231.7","2,228.6","2,220.9","2,212.0","2,242.8","2,268.1","2,263.7","2,266.5","2,277.5","2,254.9","2,255.7","2,253.6","2,252.1","2,226.2","2,232.6","2,211.7","2,056.2","2,140.0","2,222.7","2,252.9","2,262.8","2,259.1"
,"30 to 34 years","2,120.2","2,137.0","2,139.1","2,128.4","2,136.1","2,120.7","2,122.5","2,139.9","2,155.4","2,139.6","2,150.6","2,165.4","2,147.0","2,150.0","2,156.3","2,172.6","2,176.7","2,177.5","2,182.1","2,170.6","2,187.2","2,188.7","2,173.4","2,177.4","2,179.1","2,173.2","2,166.1","2,163.5","2,156.3","2,154.6","2,146.4","2,161.8","2,176.9","2,195.6","2,175.6","2,187.9","2,212.3","2,214.3","2,199.9","2,206.4","2,210.0","2,203.7","2,191.8","2,213.3","2,220.6","2,244.9","2,221.8","2,227.5","2,251.0","2,248.4","2,251.5","2,256.0","2,258.9","2,261.2","2,232.9","2,144.8","2,198.7","2,257.2","2,280.5","2,303.1","2,303.6"
,"35 to 39 years","2,071.1","2,067.2","2,038.8","2,026.9","2,034.5","2,027.1","1,997.0","2,028.0","2,025.9","2,045.5","2,038.5","2,100.7","2,128.0","2,126.7","2,133.7","2,126.8","2,129.6","2,102.2","2,109.9","2,087.9","2,107.9","2,127.3","2,102.5","2,096.6","2,112.6","2,123.3","2,137.6","2,115.1","2,116.9","2,142.8","2,162.1","2,167.3","2,157.3","2,159.0","2,142.4","2,160.2","2,173.3","2,169.2","2,187.5","2,192.4","2,210.3","2,234.9","2,200.8","2,185.0","2,200.0","2,197.8","2,193.7","2,210.1","2,219.5","2,225.8","2,259.0","2,253.3","2,243.0","2,273.5","2,264.4","2,131.3","2,157.9","2,224.5","2,172.2","2,186.4","2,210.6"
